iter	Passed	Remaining
931	1695	123
932	1696	121
933	1698	120
934	1700	118
935	1702	116
936	1704	114
937	1706	112
938	1707	110
939	1709	109
940	1710	107
941	1712	105
942	1714	103
943	1716	101
944	1718	100
945	1720	98
946	1721	96
947	1723	94
948	1725	92
949	1727	90
950	1728	89
951	1730	87
952	1732	85
953	1734	83
954	1736	81
955	1737	79
956	1739	78
957	1740	76
958	1742	74
959	1744	72
960	1745	70
961	1747	69
962	1749	67
963	1751	65
964	1753	63
965	1754	61
966	1756	59
967	1758	58
968	1759	56
969	1761	54
970	1763	52
971	1765	50
972	1767	49
973	1768	47
974	1770	45
975	1772	43
976	1773	41
977	1775	39
978	1777	38
979	1779	36
980	1781	34
981	1783	32
982	1784	30
983	1786	29
984	1788	27
985	1790	25
986	1791	23
987	1793	21
988	1795	19
989	1797	18
990	1799	16
991	1800	14
992	1802	12
993	1803	10
994	1805	9
995	1807	7
996	1808	5
997	1810	3
998	1812	1
999	1813	0
